0,1,2,3,4,5,6,7
563319,376.7,512.0,57.3,310.9,512.0,45.5,0.0
563321,377.1,512.0,57.3,313.9,512.0,45.8,0.0
563323,376.0,512.0,57.3,314.1,512.0,45.9,0.0
563325,377.5,512.0,57.3,314.3,512.0,45.8,0.0
563327,380.6,512.0,57.3,314.4,512.0,45.7,0.0
563329,380.7,512.0,57.3,311.9,512.0,45.7,0.0
563331,380.5,512.0,57.2,298.5,512.0,45.1,0.0
563333,382.2,512.0,57.3,302.1,512.0,45.3,0.0
563335,382.6,512.0,57.2,308.5,512.0,45.5,0.0
563337,382.9,512.0,57.1,308.5,512.0,45.5,0.0
563339,382.5,512.0,57.2,311.2,512.0,46.1,0.0
563341,381.8,512.0,57.2,309.3,512.0,45.6,0.0
563343,381.7,512.0,57.2,311.1,512.0,45.6,0.0
563345,381.2,512.0,57.2,315.0,512.0,46.1,0.0
563347,379.2,512.0,57.3,309.4,512.0,45.8,0.0
563349,374.1,512.0,57.3,310.2,512.0,45.6,0.0
563351,372.9,512.0,57.3,312.7,512.0,45.5,0.0
563353,375.7,512.0,57.3,311.3,512.0,44.2,0.0
563355,386.6,512.0,57.1,311.3,512.0,44.2,0.0
563357,407.5,512.0,56.5,311.3,512.0,44.2,0.0
563359,429.6,512.0,55.9,.,.,0.0,0.0
563361,448.2,512.0,55.2,.,.,0.0,0.0
563363,481.6,512.0,54.3,.,.,0.0,0.0
563365,516.9,512.0,53.4,.,.,0.0,0.0
563367,557.6,512.0,52.3,.,.,0.0,0.0
563369,606.0,512.0,51.2,.,.,0.0,0.0
563371,662.2,512.0,49.8,.,.,0.0,0.0
563373,721.1,512.0,48.5,.,.,0.0,0.0
563375,755.0,512.0,47.1,.,.,0.0,0.0
563377,787.4,512.0,45.5,.,.,0.0,0.0
563379,829.9,512.0,43.8,.,.,0.0,0.0
563381,870.9,512.0,42.1,.,.,0.0,0.0
563383,933.6,512.0,40.2,.,.,0.0,0.0
563385,1008.0,512.0,38.1,.,.,0.0,0.0
563387,1124.3,512.0,36.1,.,.,0.0,0.0
563389,1262.0,512.0,33.7,.,.,0.0,0.0
563391,1585.8,512.0,30.8,.,.,0.0,0.0
563393,2020.8,512.0,28.0,.,.,0.0,0.0
563395,2297.1,512.0,25.8,.,.,0.0,0.0
563397,2428.3,512.0,23.8,.,.,0.0,0.0
563399,2568.3,512.0,22.0,.,.,0.0,0.0
563401,2769.8,512.0,20.7,.,.,0.0,0.0
563403,2811.7,512.0,20.5,.,.,0.0,0.0
563405,.,.,0.0,.,.,0.0,0.0
563407,.,.,0.0,.,.,0.0,0.0
563409,.,.,0.0,.,.,0.0,0.0
563411,.,.,0.0,.,.,0.0,0.0
563413,.,.,0.0,.,.,0.0,0.0
563415,.,.,0.0,.,.,0.0,0.0
563417,.,.,0.0,.,.,0.0,0.0
563419,.,.,0.0,.,.,0.0,0.0
563421,.,.,0.0,.,.,0.0,0.0
563423,.,.,0.0,.,.,0.0,0.0
563425,.,.,0.0,.,.,0.0,0.0
563427,.,.,0.0,.,.,0.0,0.0
563429,.,.,0.0,.,.,0.0,0.0
563431,.,.,0.0,.,.,0.0,0.0
563433,.,.,0.0,.,.,0.0,0.0
563435,.,.,0.0,.,.,0.0,0.0
563437,.,.,0.0,.,.,0.0,0.0
563439,.,.,0.0,.,.,0.0,0.0
563441,.,.,0.0,.,.,0.0,0.0
563443,.,.,0.0,.,.,0.0,0.0
563445,.,.,0.0,.,.,0.0,0.0
563447,.,.,0.0,.,.,0.0,0.0
563449,.,.,0.0,.,.,0.0,0.0
563451,.,.,0.0,.,.,0.0,0.0
563453,.,.,0.0,.,.,0.0,0.0
563455,.,.,0.0,.,.,0.0,0.0
563457,.,.,0.0,.,.,0.0,0.0
563459,.,.,0.0,.,.,0.0,0.0
563461,.,.,0.0,.,.,0.0,0.0
563463,.,.,0.0,.,.,0.0,0.0
563465,.,.,0.0,.,.,0.0,0.0
563467,.,.,0.0,.,.,0.0,0.0
563469,.,.,0.0,.,.,0.0,0.0
563471,.,.,0.0,.,.,0.0,0.0
563473,.,.,0.0,.,.,0.0,0.0
563475,.,.,0.0,.,.,0.0,0.0
563477,.,.,0.0,.,.,0.0,0.0
563479,.,.,0.0,.,.,0.0,0.0
563481,.,.,0.0,.,.,0.0,0.0
563483,.,.,0.0,.,.,0.0,0.0
563485,.,.,0.0,.,.,0.0,0.0
563487,.,.,0.0,.,.,0.0,0.0
563489,.,.,0.0,.,.,0.0,0.0
563491,.,.,0.0,.,.,0.0,0.0
563493,3126.5,512.0,20.0,.,.,0.0,0.0
563495,3270.0,512.0,20.1,.,.,0.0,0.0
563497,3270.0,512.0,21.1,.,.,0.0,0.0
563499,3228.3,512.0,22.5,.,.,0.0,0.0
563501,3086.1,512.0,23.9,.,.,0.0,0.0
563503,2992.5,512.0,25.2,.,.,0.0,0.0
563505,2878.4,512.0,26.3,.,.,0.0,0.0
563507,2761.4,512.0,27.3,.,.,0.0,0.0
563509,2582.0,512.0,28.7,.,.,0.0,0.0
563511,1906.2,512.0,30.9,.,.,0.0,0.0
563513,1320.5,512.0,33.2,.,.,0.0,0.0
563515,1183.0,512.0,34.7,.,.,0.0,0.0
563517,1095.3,512.0,36.0,.,.,0.0,0.0
563519,1048.5,512.0,36.9,.,.,0.0,0.0
563521,969.7,512.0,38.0,.,.,0.0,0.0
563523,895.7,512.0,39.2,.,.,0.0,0.0
563525,859.1,512.0,40.0,.,.,0.0,0.0
563527,830.8,512.0,40.7,.,.,0.0,0.0
563529,804.2,512.0,41.4,.,.,0.0,0.0
563531,784.9,512.0,42.1,.,.,0.0,0.0
563533,762.6,512.0,42.9,.,.,0.0,0.0
563535,740.8,512.0,43.5,.,.,0.0,0.0
563537,717.3,512.0,44.1,.,.,0.0,0.0
563539,700.4,512.0,44.8,.,.,0.0,0.0
563541,679.0,512.0,45.4,.,.,0.0,0.0
563543,664.9,512.0,45.9,.,.,0.0,0.0
563545,655.2,512.0,46.4,.,.,0.0,0.0
563547,642.5,512.0,46.9,.,.,0.0,0.0
563549,629.8,512.0,47.5,.,.,0.0,0.0
563551,628.9,512.0,47.8,.,.,0.0,0.0
563553,637.2,512.0,48.2,.,.,0.0,0.0
563555,635.3,512.0,48.5,.,.,0.0,0.0
563557,627.4,512.0,48.9,.,.,0.0,0.0
563559,619.3,512.0,49.3,.,.,0.0,0.0
563561,603.2,512.0,49.8,.,.,0.0,0.0
563563,591.2,512.0,50.1,.,.,0.0,0.0
563565,590.7,512.0,50.6,.,.,0.0,0.0
563567,586.2,512.0,51.0,.,.,0.0,0.0
563569,576.8,512.0,51.3,.,.,0.0,0.0
563571,565.6,512.0,51.5,.,.,0.0,0.0
563573,564.8,512.0,51.8,.,.,0.0,0.0
563575,552.5,512.0,52.2,.,.,0.0,0.0
563577,542.8,512.0,52.5,.,.,0.0,0.0
563579,540.7,512.0,52.9,.,.,0.0,0.0
563581,537.5,512.0,53.1,.,.,0.0,0.0
563583,534.2,512.0,53.2,.,.,0.0,0.0
563585,526.9,512.0,53.5,.,.,0.0,0.0
563587,521.4,512.0,53.9,.,.,0.0,0.0
563589,520.1,512.0,54.1,.,.,0.0,0.0
563591,516.2,512.0,54.4,.,.,0.0,0.0
563593,510.5,512.0,54.7,.,.,0.0,0.0
563595,506.5,512.0,54.8,.,.,0.0,0.0
563597,501.4,512.0,55.0,.,.,0.0,0.0
563599,492.9,512.0,55.1,.,.,0.0,0.0
563601,489.5,512.0,55.3,.,.,0.0,0.0
563603,485.5,512.0,55.4,.,.,0.0,0.0
563605,482.1,512.0,55.5,.,.,0.0,0.0
563607,477.0,512.0,55.8,.,.,0.0,0.0
563609,474.5,512.0,55.9,.,.,0.0,0.0
563611,472.7,512.0,56.0,.,.,0.0,0.0
563613,467.7,512.0,56.2,.,.,0.0,0.0
563615,464.4,512.0,56.3,.,.,0.0,0.0
563617,462.4,512.0,56.4,.,.,0.0,0.0
563619,460.4,512.0,56.4,.,.,0.0,0.0
563621,454.8,512.0,56.4,.,.,0.0,0.0
563623,454.3,512.0,56.5,.,.,0.0,0.0
563625,454.5,512.0,56.6,.,.,0.0,0.0
563627,451.1,512.0,56.7,.,.,0.0,0.0
563629,449.8,512.0,56.8,.,.,0.0,0.0
563631,447.7,512.0,56.8,.,.,0.0,0.0
563633,443.5,512.0,56.9,.,.,0.0,0.0
563635,441.3,512.0,57.0,.,.,0.0,0.0
563637,437.8,512.0,57.1,.,.,0.0,0.0
563639,432.5,512.0,57.1,.,.,0.0,0.0
563641,427.1,512.0,57.2,.,.,0.0,0.0
563643,423.0,512.0,57.4,.,.,0.0,0.0
563645,421.4,512.0,57.4,.,.,0.0,0.0
563647,421.2,512.0,57.4,.,.,0.0,0.0
563649,421.1,512.0,57.4,.,.,0.0,0.0
563651,419.0,512.0,57.3,.,.,0.0,0.0
563653,417.2,512.0,57.3,.,.,0.0,0.0
563655,415.3,512.0,57.4,.,.,0.0,0.0
563657,414.6,512.0,57.5,.,.,0.0,0.0
563659,414.3,512.0,57.5,.,.,0.0,0.0
563661,414.3,512.0,57.5,.,.,0.0,0.0
563663,412.8,512.0,57.5,.,.,0.0,0.0
563665,412.7,512.0,57.4,.,.,0.0,0.0
563667,411.0,512.0,57.4,.,.,0.0,0.0
563669,410.6,512.0,57.4,.,.,0.0,0.0
563671,412.4,512.0,57.5,.,.,0.0,0.0
563673,411.9,512.0,57.4,.,.,0.0,0.0
563675,411.6,512.0,57.4,.,.,0.0,0.0
563677,412.9,512.0,57.4,.,.,0.0,0.0
563679,417.8,512.0,57.4,.,.,0.0,0.0
563681,418.2,512.0,57.4,.,.,0.0,0.0
563683,415.3,512.0,57.5,.,.,0.0,0.0
563685,414.7,512.0,57.5,.,.,0.0,0.0
563687,414.9,512.0,57.6,.,.,0.0,0.0
563689,419.6,512.0,57.4,.,.,0.0,0.0
563691,423.2,512.0,57.4,.,.,0.0,0.0
563693,422.4,512.0,57.4,.,.,0.0,0.0
563695,419.0,512.0,57.4,.,.,0.0,0.0
563697,419.8,512.0,57.4,.,.,0.0,0.0
563699,422.5,512.0,57.4,.,.,0.0,0.0
563701,420.6,512.0,57.3,.,.,0.0,0.0
563703,419.0,512.0,57.4,.,.,0.0,0.0
563705,420.4,512.0,57.5,.,.,0.0,0.0
563707,421.2,512.0,57.4,.,.,0.0,0.0
563709,421.8,512.0,57.4,.,.,0.0,0.0
563711,422.4,512.0,57.4,.,.,0.0,0.0
563713,423.0,512.0,57.3,.,.,0.0,0.0
563715,421.7,512.0,57.4,.,.,0.0,0.0
563717,420.3,512.0,57.5,.,.,0.0,0.0
563719,417.9,512.0,57.4,.,.,0.0,0.0
563721,419.7,512.0,57.4,.,.,0.0,0.0
563723,420.7,512.0,57.5,.,.,0.0,0.0
563725,420.1,512.0,57.4,.,.,0.0,0.0
563727,421.2,512.0,57.4,.,.,0.0,0.0
563729,421.9,512.0,57.4,.,.,0.0,0.0
563731,422.2,512.0,57.4,.,.,0.0,0.0
563733,420.7,512.0,57.5,.,.,0.0,0.0
563735,418.4,512.0,57.5,.,.,0.0,0.0
563737,417.1,512.0,57.4,.,.,0.0,0.0
563739,416.0,512.0,57.5,.,.,0.0,0.0
563741,416.2,512.0,57.5,.,.,0.0,0.0
563743,415.7,512.0,57.4,.,.,0.0,0.0
563745,418.8,512.0,57.4,.,.,0.0,0.0
563747,419.8,512.0,57.5,.,.,0.0,0.0
563749,418.2,512.0,57.5,.,.,0.0,0.0
563751,416.8,512.0,57.5,.,.,0.0,0.0
563753,416.7,512.0,57.6,.,.,0.0,0.0
563755,413.8,512.0,57.6,225.5,512.0,46.2,0.0
563757,411.9,512.0,57.6,362.7,512.0,46.2,0.0
563759,415.5,512.0,57.6,363.8,512.0,45.8,0.0
563761,416.2,512.0,57.6,364.8,512.0,45.4,0.0
563763,416.1,512.0,57.6,362.5,512.0,45.5,0.0
563765,416.1,512.0,57.6,363.8,512.0,46.1,0.0
563767,415.5,512.0,57.6,367.5,512.0,46.5,0.0
563769,415.7,512.0,57.6,362.4,512.0,46.1,0.0
563771,415.6,512.0,57.6,360.4,512.0,46.1,0.0
563773,417.1,512.0,57.6,360.7,512.0,46.1,0.0
563775,412.2,512.0,57.6,353.8,512.0,45.6,0.0
563777,409.8,512.0,57.6,346.9,512.0,45.0,0.0
563779,413.5,512.0,57.7,355.7,512.0,45.9,0.0
563781,411.1,512.0,57.7,363.8,512.0,46.6,0.0
563783,409.8,512.0,57.7,360.8,512.0,46.5,0.0
563785,409.9,512.0,57.7,360.2,512.0,46.4,0.0
563787,411.7,512.0,57.6,361.5,512.0,46.1,0.0
563789,413.5,512.0,57.6,361.2,512.0,46.0,0.0
563791,412.8,512.0,57.7,355.8,512.0,46.1,0.0
563793,410.8,512.0,57.7,359.7,512.0,46.6,0.0
563795,411.3,512.0,57.8,360.2,512.0,46.4,0.0
563797,412.6,512.0,57.9,358.5,512.0,45.9,0.0
563799,410.8,512.0,57.9,356.7,512.0,46.4,0.0
563801,412.4,512.0,57.8,361.4,512.0,46.0,0.0
563803,413.0,512.0,57.8,361.9,512.0,45.8,0.0
563805,410.8,512.0,57.8,350.5,512.0,46.6,0.0
563807,410.4,512.0,57.8,355.6,512.0,46.5,0.0
563809,410.3,512.0,57.7,357.1,512.0,46.6,0.0
563811,409.6,512.0,57.7,351.8,512.0,46.4,0.0
563813,409.2,512.0,57.7,346.6,512.0,46.2,0.0
563815,410.9,512.0,57.7,.,.,0.0,0.0
563817,410.0,512.0,57.6,.,.,0.0,0.0
563819,408.0,512.0,57.7,.,.,0.0,0.0
563821,408.1,512.0,57.7,280.9,512.0,46.4,0.0
563823,408.4,512.0,57.7,357.0,512.0,46.5,0.0
563825,408.8,512.0,57.6,352.3,512.0,47.0,0.0
563827,409.5,512.0,57.6,345.4,512.0,46.8,0.0
563829,409.7,512.0,57.7,350.0,512.0,46.8,0.0
563831,407.4,512.0,57.7,354.7,512.0,47.0,0.0
563833,405.5,512.0,57.7,352.0,512.0,46.9,0.0
563835,405.4,512.0,57.8,348.8,512.0,47.3,0.0
563837,403.9,512.0,57.8,351.8,512.0,47.3,0.0
563839,404.6,512.0,57.8,352.6,512.0,46.8,0.0
563841,409.2,512.0,57.7,349.3,512.0,46.5,0.0
563843,408.7,512.0,57.7,350.9,512.0,46.8,0.0
563845,407.4,512.0,57.6,356.1,512.0,46.9,0.0
563847,407.3,512.0,57.6,356.1,512.0,46.7,0.0
563849,407.6,512.0,57.6,355.6,512.0,47.3,0.0
563851,408.3,512.0,57.6,355.6,512.0,47.3,0.0
563853,409.9,512.0,57.6,354.2,512.0,47.1,0.0
563855,410.2,512.0,57.7,352.4,512.0,47.0,0.0
563857,408.4,512.0,57.8,352.5,512.0,47.3,0.0
563859,405.5,512.0,57.8,351.2,512.0,47.5,0.0
563861,404.1,512.0,57.7,349.8,512.0,47.3,0.0
563863,402.9,512.0,57.7,350.6,512.0,47.2,0.0
563865,402.2,512.0,57.7,350.6,512.0,47.3,0.0
563867,404.4,512.0,57.7,351.4,512.0,47.6,0.0
563869,404.5,512.0,57.7,350.3,512.0,48.1,0.0
563871,404.9,512.0,57.6,342.6,512.0,47.5,0.0
563873,404.2,512.0,57.5,340.1,512.0,47.3,0.0
563875,404.8,512.0,57.5,345.3,512.0,47.4,0.0
563877,403.6,512.0,57.5,340.7,512.0,47.6,0.0
563879,402.6,512.0,57.5,344.2,512.0,47.8,0.0
563881,404.5,512.0,57.5,346.4,512.0,47.6,0.0
563883,403.4,512.0,57.5,341.4,512.0,47.5,0.0
563885,402.8,512.0,57.5,332.6,512.0,47.6,0.0
563887,403.5,512.0,57.4,336.0,512.0,47.2,0.0
563889,399.8,512.0,57.4,337.4,512.0,47.1,0.0
563891,399.3,512.0,57.4,343.2,512.0,46.8,0.0
563893,401.4,512.0,57.4,341.8,512.0,46.9,0.0
563895,401.4,512.0,57.4,341.9,512.0,46.9,0.0
563897,402.3,512.0,57.4,343.4,512.0,47.4,0.0
563899,404.2,512.0,57.3,337.0,512.0,47.4,0.0
563901,404.2,512.0,57.3,335.7,512.0,47.1,0.0
563903,403.6,512.0,57.3,338.0,512.0,47.6,0.0
563905,403.6,512.0,57.3,338.3,512.0,47.4,0.0
563907,407.9,512.0,57.3,336.6,512.0,47.2,0.0
563909,404.7,512.0,57.3,335.1,512.0,47.2,0.0
